IssueId,IssueKee,IssueType,RuleId,Severity,Message,FileName
113286,AXI_QkBtSfYPAADgXGfe,CodeSmell,1943,INFO,Complete the task associated to this TODO comment.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113287,AXI_QkBtSfYPAADgXGff,CodeSmell,1867,MAJOR,"Rename ""manifestUri"" which hides the field declared at line 408.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113288,AXI_QkBtSfYPAADgXGfg,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113289,AXI_QkBtSfYPAADgXGfh,CodeSmell,1867,MAJOR,"Rename ""windowDefaultStartPositionUs"" which hides the field declared at line 1180.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113290,AXI_QkBtSfYPAADgXGfi,CodeSmell,1867,MAJOR,"Rename ""windowDefaultStartPositionUs"" which hides the field declared at line 1180.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113291,AXI_QkBtSfYPAADgXGfj,SecurityHotspot,1751,CRITICAL,Make sure that using a regular expression is safe here.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113292,AXI_QkBtSfYPAADgXGfk,CodeSmell,1592,MINOR,Replace Charset.forName() call with StandardCharsets.UTF_8,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113293,AXI_QkNwSfYPAADgXGfl,CodeSmell,1673,CRITICAL,Move constants to a class or enum.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashSegmentIndex.java
113294,AXI_QkOCSfYPAADgXGfm,CodeSmell,524,MAJOR,1 duplicated blocks of code must be removed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DefaultDashChunkSource.java
113295,AXI_QkOCSfYPAADgXGfn,CodeSmell,1509,MAJOR,"Constructor has 12 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DefaultDashChunkSource.java
113296,AXI_QkOCSfYPAADgXGfo,CodeSmell,1509,MAJOR,"Method has 9 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DefaultDashChunkSource.java
113297,AXI_QkOCSfYPAADgXGfp,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DefaultDashChunkSource.java
113298,AXI_QkOhSfYPAADgXGfq,CodeSmell,524,MAJOR,3 duplicated blocks of code must be removed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaPeriod.java
113299,AXI_QkOhSfYPAADgXGfr,CodeSmell,1509,MAJOR,"Constructor has 13 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaPeriod.java
113300,AXI_QkOhSfYPAADgXGfs,CodeSmell,1509,MAJOR,"Method has 8 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaPeriod.java
113301,AXI_QkOhSfYPAADgXGft,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaPeriod.java
113302,AXI_QkOhSfYPAADgXGfu,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaPeriod.java
113303,AXI_QkOhSfYPAADgXGfv,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaPeriod.java
113304,AXI_QkOhSfYPAADgXGfw,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaPeriod.java
113305,AXI_QkOhSfYPAADgXGfx,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaPeriod.java
